"OSVer","OS","EOLDate"
"5.1 (2600)","Windows XP Professional","2014-08-04"
"6.0 (6002)","Windows Server® 2008 Enterprise","2020-01-14"
"6.0 (6002)","Windows Server® 2008 Standard","2020-01-14"
"6.2 (9200)","Windows Server 2012 Standard","2023-10-10"
"6.3 (9600)","Windows Server 2012 R2 Standard","2023-10-10"
"6.1 (7601)","Windows 7 Professional","2020-01-14"
"6.1 (7601)","Windows 7 Enterprise","2020-01-14"
"10.0 (10240)","Windows 10 Pro","2017-05-09"
"10.0 (10240)","Windows 10 Enterprise","2017-05-09"
"10.0 (10586)","Windows 10 Pro","2017-10-10"
"10.0 (10586)","Windows 10 Enterprise","2017-10-10"
"10.0 (14393)","Windows 10 Pro","2018-04-09"
"10.0 (14393)","Windows 10 Enterprise","2019-04-09"
"10.0 (14393)","Windows 10 Enterprise 2016 LTSB","2026-10-13"
"10.0 (14393)","Windows Server 2016 Standard","2027-01-12"
"10.0 (15063)","Windows 10 Pro","2019-04-09"
"10.0 (15063)","Windows 10 Enterprise","2019-10-08"
"10.0 (16299)","Windows 10 Pro","2019-04-09"
"10.0 (16299)","Windows 10 Enterprise","2020-04-14"
"10.0 (17134)","Windows 10 Pro for Workstations","2019-11-12"
"10.0 (17134)","Windows 10 Enterprise","2020-11-10"
"10.0 (17763)","Windows 10 Pro","2020-05-12"
"10.0 (17763)","Windows 10 Enterprise","2021-05-11"
"10.0 (17763)","Windows 10 Enterprise LTSC","2029-01-09"
"10.0 (17763)","Windows Server 2019 Standard","2029-01-09"
